Date,España,Italia
2020-01-22 00:00:00+00:00,0,0
2020-01-23 00:00:00+00:00,0,0
2020-01-24 00:00:00+00:00,0,0
2020-01-25 00:00:00+00:00,0,0
2020-01-26 00:00:00+00:00,0,0
2020-01-27 00:00:00+00:00,0,0
2020-01-28 00:00:00+00:00,0,0
2020-01-29 00:00:00+00:00,0,0
2020-01-30 00:00:00+00:00,0,0
2020-01-31 00:00:00+00:00,2,0
2020-02-01 00:00:00+00:00,2,1
2020-02-02 00:00:00+00:00,2,1
2020-02-03 00:00:00+00:00,2,1
2020-02-04 00:00:00+00:00,2,1
2020-02-05 00:00:00+00:00,2,1
2020-02-06 00:00:00+00:00,2,1
2020-02-07 00:00:00+00:00,3,1
2020-02-08 00:00:00+00:00,3,1
2020-02-09 00:00:00+00:00,3,2
2020-02-10 00:00:00+00:00,3,2
2020-02-11 00:00:00+00:00,3,2
2020-02-12 00:00:00+00:00,3,2
2020-02-13 00:00:00+00:00,3,2
2020-02-14 00:00:00+00:00,3,2
2020-02-15 00:00:00+00:00,3,2
2020-02-16 00:00:00+00:00,3,2
2020-02-17 00:00:00+00:00,3,2
2020-02-18 00:00:00+00:00,3,2
2020-02-19 00:00:00+00:00,3,2
2020-02-20 00:00:00+00:00,3,2
2020-02-21 00:00:00+00:00,20,2
2020-02-22 00:00:00+00:00,62,2
2020-02-23 00:00:00+00:00,155,2
2020-02-24 00:00:00+00:00,229,2
2020-02-25 00:00:00+00:00,322,6
2020-02-26 00:00:00+00:00,453,13
2020-02-27 00:00:00+00:00,655,15
2020-02-28 00:00:00+00:00,888,32
2020-02-29 00:00:00+00:00,1128,45
2020-03-01 00:00:00+00:00,1694,84
2020-03-02 00:00:00+00:00,2036,120
2020-03-03 00:00:00+00:00,2502,165
2020-03-04 00:00:00+00:00,3089,222
2020-03-05 00:00:00+00:00,3858,259
2020-03-06 00:00:00+00:00,4636,400
2020-03-07 00:00:00+00:00,5883,500
2020-03-08 00:00:00+00:00,7375,673
2020-03-09 00:00:00+00:00,9172,1073
2020-03-10 00:00:00+00:00,10149,1695
2020-03-11 00:00:00+00:00,12462,2277
2020-03-12 00:00:00+00:00,15113,2277
2020-03-13 00:00:00+00:00,17660,5232
2020-03-14 00:00:00+00:00,21157,6391
2020-03-15 00:00:00+00:00,24747,7798
2020-03-16 00:00:00+00:00,27980,9942
2020-03-17 00:00:00+00:00,31506,11748
2020-03-18 00:00:00+00:00,35713,13910
2020-03-19 00:00:00+00:00,41035,17963
2020-03-20 00:00:00+00:00,47021,20410
2020-03-21 00:00:00+00:00,53578,25374
2020-03-22 00:00:00+00:00,59138,28768
2020-03-23 00:00:00+00:00,63927,35136
2020-03-24 00:00:00+00:00,69176,39885
2020-03-25 00:00:00+00:00,74386,49515
2020-03-26 00:00:00+00:00,80589,57786
2020-03-27 00:00:00+00:00,86498,65719
2020-03-28 00:00:00+00:00,92472,73235
2020-03-29 00:00:00+00:00,97689,80110
2020-03-30 00:00:00+00:00,101739,87956
2020-03-31 00:00:00+00:00,105792,95923
2020-04-01 00:00:00+00:00,110574,104118
2020-04-02 00:00:00+00:00,115242,112065
2020-04-03 00:00:00+00:00,119827,119199
2020-04-04 00:00:00+00:00,124632,126168
2020-04-05 00:00:00+00:00,128948,131646
2020-04-06 00:00:00+00:00,132547,136675
2020-04-07 00:00:00+00:00,135586,141942
2020-04-08 00:00:00+00:00,139422,148220
2020-04-09 00:00:00+00:00,143626,153222
2020-04-10 00:00:00+00:00,147577,158273
2020-04-11 00:00:00+00:00,152271,163027
2020-04-12 00:00:00+00:00,156363,166831
2020-04-13 00:00:00+00:00,159516,170099
2020-04-14 00:00:00+00:00,162488,172541
2020-04-15 00:00:00+00:00,165155,177644
2020-04-16 00:00:00+00:00,168941,184948
2020-04-17 00:00:00+00:00,172434,190839
2020-04-18 00:00:00+00:00,175925,191726
2020-04-19 00:00:00+00:00,178972,198674
2020-04-20 00:00:00+00:00,181228,200210
2020-04-21 00:00:00+00:00,183957,204178
2020-04-22 00:00:00+00:00,187327,208389
2020-04-23 00:00:00+00:00,189973,213024
2020-04-24 00:00:00+00:00,192994,202990
2020-04-25 00:00:00+00:00,195351,205905
2020-04-26 00:00:00+00:00,197675,207634
2020-04-27 00:00:00+00:00,199414,209465
2020-04-28 00:00:00+00:00,201505,210773
2020-04-29 00:00:00+00:00,203591,212917
2020-04-30 00:00:00+00:00,205463,213435
2020-05-01 00:00:00+00:00,207428,215216
2020-05-02 00:00:00+00:00,209328,216582
2020-05-03 00:00:00+00:00,210717,217466
2020-05-04 00:00:00+00:00,211938,218011
2020-05-05 00:00:00+00:00,213013,219329
2020-05-06 00:00:00+00:00,214457,220325
2020-05-07 00:00:00+00:00,215858,221447
2020-05-08 00:00:00+00:00,217185,222857
2020-05-09 00:00:00+00:00,218268,223578
2020-05-10 00:00:00+00:00,219070,224350
2020-05-11 00:00:00+00:00,219814,227436
2020-05-12 00:00:00+00:00,221216,228030
2020-05-13 00:00:00+00:00,222104,228691
2020-05-14 00:00:00+00:00,223096,229540
2020-05-15 00:00:00+00:00,223885,230183
2020-05-16 00:00:00+00:00,224760,230698
2020-05-17 00:00:00+00:00,225435,230698
2020-05-18 00:00:00+00:00,225886,231606
2020-05-19 00:00:00+00:00,226699,232037
2020-05-20 00:00:00+00:00,227364,232555
2020-05-21 00:00:00+00:00,228006,233037
2020-05-22 00:00:00+00:00,228658,234824
2020-05-23 00:00:00+00:00,229327,235290
2020-05-24 00:00:00+00:00,229858,235772
2020-05-25 00:00:00+00:00,230158,235400
2020-05-26 00:00:00+00:00,230555,236259
2020-05-27 00:00:00+00:00,231139,236259
2020-05-28 00:00:00+00:00,231732,237906
2020-05-29 00:00:00+00:00,232248,238564
2020-05-30 00:00:00+00:00,232664,239228
2020-05-31 00:00:00+00:00,232997,239479
2020-06-01 00:00:00+00:00,233197,239638
2020-06-02 00:00:00+00:00,233515,239932
2020-06-03 00:00:00+00:00,233836,240326
2020-06-04 00:00:00+00:00,234013,240660
2020-06-05 00:00:00+00:00,234531,240978
2020-06-06 00:00:00+00:00,234801,241310
2020-06-07 00:00:00+00:00,234998,241550
2020-06-08 00:00:00+00:00,235278,241717
2020-06-09 00:00:00+00:00,235561,241966
2020-06-10 00:00:00+00:00,235763,242280
2020-06-11 00:00:00+00:00,236142,242707
2020-06-12 00:00:00+00:00,236305,243209
2020-06-13 00:00:00+00:00,236651,243605
2020-06-14 00:00:00+00:00,236989,243928
2020-06-15 00:00:00+00:00,237290,244109
2020-06-16 00:00:00+00:00,237500,244328
2020-06-17 00:00:00+00:00,237828,244683
2020-06-18 00:00:00+00:00,238159,245268
2020-06-19 00:00:00+00:00,238011,245575
2020-06-20 00:00:00+00:00,238275,245938
2020-06-21 00:00:00+00:00,238499,246272
2020-06-22 00:00:00+00:00,238720,246504
2020-06-23 00:00:00+00:00,238833,246752
2020-06-24 00:00:00+00:00,239410,247086
2020-06-25 00:00:00+00:00,239706,247486
2020-06-26 00:00:00+00:00,239961,247905
2020-06-27 00:00:00+00:00,240136,248469
2020-06-28 00:00:00+00:00,240310,248770
2020-06-29 00:00:00+00:00,240436,248970
2020-06-30 00:00:00+00:00,240578,249271
2020-07-01 00:00:00+00:00,240760,249659
2020-07-02 00:00:00+00:00,240961,250103
2020-07-03 00:00:00+00:00,241184,250545
2020-07-04 00:00:00+00:00,241419,250545
2020-07-05 00:00:00+00:00,241611,250545
2020-07-06 00:00:00+00:00,241819,251789
2020-07-07 00:00:00+00:00,241956,252130
2020-07-08 00:00:00+00:00,242149,252513
2020-07-09 00:00:00+00:00,242363,253056
2020-07-10 00:00:00+00:00,242639,253908
2020-07-11 00:00:00+00:00,242827,253908
2020-07-12 00:00:00+00:00,243061,253908
2020-07-13 00:00:00+00:00,243230,255953
2020-07-14 00:00:00+00:00,243344,256619
2020-07-15 00:00:00+00:00,243506,257494
2020-07-16 00:00:00+00:00,243736,258855
2020-07-17 00:00:00+00:00,243967,260255
2020-07-18 00:00:00+00:00,244216,260255
2020-07-19 00:00:00+00:00,244434,260255
2020-07-20 00:00:00+00:00,244624,264836
2020-07-21 00:00:00+00:00,244752,266194
2020-07-22 00:00:00+00:00,245032,267551
2020-07-23 00:00:00+00:00,245338,270166
2020-07-24 00:00:00+00:00,245590,272421
2020-07-25 00:00:00+00:00,245864,272421
2020-07-26 00:00:00+00:00,246118,272421
2020-07-27 00:00:00+00:00,246286,278782
2020-07-28 00:00:00+00:00,246488,280610
2020-07-29 00:00:00+00:00,246776,282641
2020-07-30 00:00:00+00:00,247158,285430
2020-07-31 00:00:00+00:00,247537,288522
2020-08-01 00:00:00+00:00,247832,288522
2020-08-02 00:00:00+00:00,248070,288522
2020-08-03 00:00:00+00:00,248229,297054
2020-08-04 00:00:00+00:00,248419,302814
2020-08-05 00:00:00+00:00,248803,305767
2020-08-06 00:00:00+00:00,249204,309855
2020-08-07 00:00:00+00:00,249756,314362
2020-08-08 00:00:00+00:00,250103,314362
2020-08-09 00:00:00+00:00,250566,314362
2020-08-10 00:00:00+00:00,250825,322980
2020-08-11 00:00:00+00:00,251237,326612
2020-08-12 00:00:00+00:00,251713,329784
2020-08-13 00:00:00+00:00,252235,337334
2020-08-14 00:00:00+00:00,252809,342813
2020-08-15 00:00:00+00:00,253438,342813
2020-08-16 00:00:00+00:00,253915,342813
2020-08-17 00:00:00+00:00,254235,359082
2020-08-18 00:00:00+00:00,254636,364196
2020-08-19 00:00:00+00:00,255278,370867
2020-08-20 00:00:00+00:00,256118,377906
2020-08-21 00:00:00+00:00,257065,386054
2020-08-22 00:00:00+00:00,258136,386054
2020-08-23 00:00:00+00:00,259345,386054
2020-08-24 00:00:00+00:00,260298,405436
2020-08-25 00:00:00+00:00,261174,412553
2020-08-26 00:00:00+00:00,262540,419849
2020-08-27 00:00:00+00:00,263949,429507
2020-08-28 00:00:00+00:00,265409,439286
2020-08-29 00:00:00+00:00,266853,439286
2020-08-30 00:00:00+00:00,268218,439286
2020-08-31 00:00:00+00:00,269214,462858
2020-09-01 00:00:00+00:00,270189,470973
2020-09-02 00:00:00+00:00,271515,479554
2020-09-03 00:00:00+00:00,272912,488513
2020-09-04 00:00:00+00:00,274644,498989
2020-09-05 00:00:00+00:00,276338,498989
2020-09-06 00:00:00+00:00,277634,498989
2020-09-07 00:00:00+00:00,278784,525549
2020-09-08 00:00:00+00:00,280153,534513
2020-09-09 00:00:00+00:00,281583,543379
2020-09-10 00:00:00+00:00,283180,554143
2020-09-11 00:00:00+00:00,284796,566326
2020-09-12 00:00:00+00:00,286297,566326
2020-09-13 00:00:00+00:00,287753,566326
2020-09-14 00:00:00+00:00,288761,593730
2020-09-15 00:00:00+00:00,289990,603167
2020-09-16 00:00:00+00:00,291442,614360
2020-09-17 00:00:00+00:00,293025,625651
2020-09-18 00:00:00+00:00,294932,640040
2020-09-19 00:00:00+00:00,296569,640040
2020-09-20 00:00:00+00:00,298156,640040
2020-09-21 00:00:00+00:00,299506,671468
2020-09-22 00:00:00+00:00,300897,682267
2020-09-23 00:00:00+00:00,302537,693556
2020-09-24 00:00:00+00:00,304323,704209
